food_item,found_images,downloaded_images,selected_image,quality_score,ai_food_match,ai_confidence,menu_suitable,ai_reason,processed,uploaded,final_image,drive_file,drive_link,status
Chicken Tandoori,3,2,,,,,,"The image clearly shows Chicken Tandoori, but it has a prominent 'SWASTHI'S RECIPES' watermark in the bottom left corner, making it unsuitable for a clean restaurant menu.",False,False,,,,No Relevant Image Found
Veg Fried Rice,3,3,candidate_02.jpg,80.0,True,98,True,"The image clearly displays a well-prepared bowl of Veg Fried Rice, visually consistent with the requested item. The food is the main subject, clearly visible, and the image is high quality with no unsuitable elements.",True,True,Veg Fried Rice.jpg,Veg Fried Rice.jpg,https://drive.google.com/file/d/1mYKB5WvBWUCeKu9NQNgMLtuWEto8IBXu/view?usp=drivesdk,Success
Chicken Biryani Boneless,3,3,candidate_03.jpg,86.0,True,95,True,"The image clearly displays boneless chicken biryani with appropriate garnishes in a clean, professional presentation suitable for a menu.",True,True,Chicken Biryani Boneless.jpg,Chicken Biryani Boneless.jpg,https://drive.google.com/file/d/1q6WCM3KhM6yfhJIbdD3thfBN6rjGlHY5/view?usp=drivesdk,Success
Butter Roti,3,2,candidate_02.jpg,58.0,True,95,True,"The image clearly displays a Butter Roti with a pat of butter melting on it. The dish is the main subject, well-lit, in focus, and free of distracting elements, making it suitable for a menu.",True,True,Butter Roti.jpg,Butter Roti.jpg,https://drive.google.com/file/d/1dBc-c026HqofhQ2kPbErNIulFoXgYCs5/view?usp=drivesdk,Success
Paneer Tikka Masala,3,3,,,,,,"The image clearly shows Paneer Tikka Masala, but it contains a prominent '© Kannan's Kitchen' watermark that makes it unsuitable for a clean restaurant menu.",False,False,,,,No Relevant Image Found
Chicken Fried Rice,3,3,,,,,,"The image clearly shows Chicken Fried Rice and is visually appealing, but it contains a prominent 'NISH KITCHEN' watermark in the bottom right corner, making it unsuitable for a clean restaurant menu.",False,False,,,,No Relevant Image Found
Veg Triple Schezwan Fried Rice,3,2,,,,,,"The image clearly shows noodles, not 'Fried Rice' as requested. Additionally, there is a prominent 'Ranveer Brar' logo.",False,False,,,,No Relevant Image Found
Roti,3,3,,,,,,"The image clearly shows roti, but it is part of a larger thali with many other dishes, not making it the main subject for a dedicated 'Roti' menu item.",False,False,,,,No Relevant Image Found
Chicken Tandoori [Half],3,2,,,,,,"The image clearly shows Chicken Tandoori (half portion), but it contains a prominent 'SWASTHI'S RECIPES' watermark at the bottom, making it unsuitable for a clean menu.",False,False,,,,No Relevant Image Found
Dal Khichdi Tadka,3,2,candidate_02.png,62.0,True,98,True,"The image clearly displays Dal Khichdi Tadka, which is visually consistent with the requested item. The food is the main subject, clearly visible, and the image is sharp with no prominent unsuitable elements.",True,True,Dal Khichdi Tadka.jpg,Dal Khichdi Tadka.jpg,https://drive.google.com/file/d/1t-KQtkWn8wGEYzldRpJcK3DUs1GERYO1/view?usp=drivesdk,Success
